experience_id,skill_id,proficiency_level,primary_focus
1,1,Intermediate,Yes
1,3,Intermediate,Yes
1,4,Advanced,Yes
1,16,Intermediate,No
2,2,Advanced,Yes
2,5,Intermediate,Yes
2,3,Intermediate,No
2,15,Intermediate,Yes
3,6,Intermediate,Yes
3,7,Intermediate,Yes
3,8,Intermediate,Yes
4,9,Beginner,Yes
4,10,Intermediate,Yes
4,3,Advanced,No
4,17,Intermediate,Yes
5,11,Intermediate,Yes
5,10,Advanced,Yes
5,14,Advanced,Yes
6,12,Advanced,Yes
6,13,Beginner,Yes
6,15,Intermediate,No
7,13,Advanced,Yes
7,14,Intermediate,Yes
8,9,Advanced,Yes
8,18,Intermediate,Yes
9,19,Intermediate,Yes
9,18,Advanced,Yes
10,20,Intermediate,Yes
10,18,Advanced,Yes
